Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Fusarium gerlachii	CBS:123666	NeFgCBS123666	NC_025928.1	93428	31.91	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_025928.1	Kulik T, Brankovics B, Sawicki J, et al. The complete mitogenome of Fusarium gerlachii. Mitochondrial DNA A DNA Mapp Seq Anal. 2016,27(3):1895-1896.	https://doi.org/10.3109/19401736.2014.971275	 --
Fusarium gerlachii	CBS119176	NeFgCBS119176	MW182664.1	99666	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182664.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium gerlachii	CBS119175	NeFgCBS119175	MW182663.1	99662	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182663.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium globosum	CBS 428.97	NeFgCBS428.97	MT010913.1	46972	33.01	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT010913.1	Brankovics B, van Diepeningen AD, de Hoog GS, et al. Detecting Introgression Between Members of the Fusarium fujikuroi and F. oxysporum Species Complexes by Comparative Mitogenomics. Front. Microbiol. 2020,11:1092.	https://doi.org/10.3389/fmicb.2020.01092	 --
Fusarium graminearum	 --	NeFgNC_009493	NC_009493.1	95676	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_009493.1	Al-Reedy RM, Malireddy R, Dillman CB, et al. Comparative analysis of Fusarium mitochondrial genomes reveals a highly variable region that encodes an exceptionally large open reading frame. Fungal Genet Biol. 2012,49(1):2-14.	https://doi.org/10.1016/j.fgb.2011.11.008	 --
Fusarium graminearum	 --	NeFgMT036757	MT036757.1	95013	31.86	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036757.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	KSU23473	NeFgKSU23473	CP147676.1	95770	31.86	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP147676.1	Dhakal U, Kim HS, Toomajian C. The landscape and predicted roles of structural variants in Fusarium graminearum genomes. G3 (Bethesda). 2024,14(6):jkae065.	https://doi.org/10.1093/g3journal/jkae065	 --
Fusarium graminearum	KSU23522	NeFgKSU23522	CP147681.1	96625	31.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP147681.1	Dhakal U, Kim HS, Toomajian C. The landscape and predicted roles of structural variants in Fusarium graminearum genomes. G3 (Bethesda). 2024;14(6):jkae065.	https://doi.org/10.1093/g3journal/jkae065	 --
Fusarium graminearum	DAOM 241165	NeFgDAOM241165	CM046831 .1	114795	31.4	Y	https://www.ncbi.nlm.nih.gov/nuccore/CM046831.1	Walkowiak S, Bonner CT, Wang L, et al. Intraspecies Interaction of Fusarium graminearum Contributes to Reduced Toxin Production and Virulence. Mol Plant Microbe Interact. 2015,28(11):1256-1267. 	https://doi.org/10.1094/MPMI-06-15-0120-R	 --
Fusarium graminearum	CBS134070	NeFgCBS134070	MW182666.1	94643	31.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182666.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium graminearum	CBS0359	NeFgCBS0359	MW182665.1	95004	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182665.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium graminearum	PH-1	NeFgPH-1	CP087875.1	95638	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/CP087875.1	Lu P, Chen D, Qi Z, et al. Landscape and regulation of alternative splicing and alternative polyadenylation in a plant pathogenic fungus. New Phytol. 2022,235(2):674-689.	https://doi.org/10.1111/nph.18164	 --
Fusarium graminearum	S8A	NeFgS8A	MT036756.1	96195	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036756.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	S5A	NeFgS5A	MT036755.1	96195	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036755.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	RH14A	NeFgRH14A	MT036754.1	97965	31.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036754.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N102	NeFgN102	MT036753.1	95043	31.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036753.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N101	NeFgN101	MT036752.1	99072	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036752.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N8_2	NeFgN8_2	MT036751.1	97903	31.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036751.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N7_1	NeFgN7_1	MT036750.1	97364	31.8	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036750.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N6_2	NeFgN6_2	MT036749.1	95036	31.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036749.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	N4_1	NeFgN4_1	MT036748.1	96203	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036748.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	L14b	NeFgL14b	MT036747.1	96202	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036747.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	Kr_275-1	NeFgKr_275-1	MT036746.1	93775	31.75	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036746.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	ITA_1606	NeFgITA_1606	MT036745.1	94944	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036745.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	ITA_1601	NeFgITA_1601	MT036744.1	97357	31.79	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036744.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	ITA_1377	NeFgITA_1377	MT036743.1	96204	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036743.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	ITA_593	NeFgITA_593	MT036742.1	96204	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036742.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	ITA_285	NeFgITA_285	MT036741.1	96105	31.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036741.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	 --	NeFgMT036740	MT036740.1	97901	31.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036740.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	HZ26A	NeFgHZ26A	MT036739.1	97874	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036739.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	GER_4527b	NeFgGER_4527b	MT036738.1	96193	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036738.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	GER_74b	NeFgGER_74b	MT036737.1	95032	31.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036737.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	GER_37	NeFgGER_37	MT036736.1	100861	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036736.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	GER_8-8	NeFgGER_8-8	MT036735.1	94638	31.9	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036735.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	Fr10a3	NeFgFr10a3	MT036734.1	96194	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036734.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	Fr1b2	NeFgFr1b2	MT036733.1	97895	31.77	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036733.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	FG3211	NeFgFG3211	MT036732.1	100861	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036732.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	FG08	NeFgFG08	MT036731.1	97894	31.76	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036731.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	F1B	NeFgF1B	MT036730.1	97894	31.76	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036730.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	CS10007	NeFgCS10007	MT036729.1	97428	31.83	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036729.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	CS9907	NeFgCS9907	MT036728.1	97975	31.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036728.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	CBS_134070	NeFgCBS_134070	MT036727.1	94636	31.89	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036727.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	C10b	NeFgC10b	MT036726.1	99073	31.73	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036726.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	C10a	NeFgC10a	MT036725.1	99072	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036725.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	AGV002B	NeFgAGV002B	MT036724.1	97971	31.82	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036724.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	70725	NeFg70725	MT036723.1	94634	31.9	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036723.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	58918	NeFg58918	MT036722.1	95028	31.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036722.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	04501	NeFg04501	MT036721.1	96163	31.81	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036721.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	04431	NeFg04431	MT036720.1	99150	31.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036720.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	04286	NeFg04286	MT036719.1	99110	31.78	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036719.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	03132	NeFg03132	MT036718.1	95043	31.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036718.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	630	NeFg630	MT036717.1	96195	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036717.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	433-2	NeFg433-2	MT036716.1	95034	31.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036716.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	0358	NeFg0358	MT036715.1	95004	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036715.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	336-3B	NeFg336-3B	MT036714.1	95041	31.88	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036714.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	335-2P	NeFg335-2P	MN935228.1	95009	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036713.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	321	NeFg321	MT036712.1	95484	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036712.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	237	NeFg237	MT036711.1	94993	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036711.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	187-2	NeFg187-2	MT036710.1	96203	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036710.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	178-7 	NeFg178-7	MT036709.1	95004	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036709.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	177-5	NeFg177-5	MT036708.1	94942	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036708.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	119-12 	NeFg119-12	MT036707.1	93781	31.75	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036707.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	114-2	NeFg114-2	MT036706.1	96188	31.84	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036706.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	87-7	NeFg87-7	MT036705.1	95036	31.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036705.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	79E1	NeFg79E1	MT036704.1	95003	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036704.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
Fusarium graminearum	71E1	NeFg71E1	MT036703.1	95003	31.85	Y	https://www.ncbi.nlm.nih.gov/nuccore/MT036703.1	Kulik T, Brankovics B, van Diepeningen AD, et al. Diversity of Mobile Genetic Elements in the Mitogenomes of Closely Related Fusarium culmorum and F. graminearum sensu stricto Strains and Its Implication for Diagnostic Purposes. Front Microbiol. 2020,11:1002.	https://doi.org/10.3389/fmicb.2020.01002	 --
